,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-06T09:52:17.227+01:00,   0.471E-04,   0.00005,   1.64062
      2,2020-11-06T09:52:17.283+01:00,   0.471E-04,   0.00009,   1.82812
      3,2020-11-06T09:52:17.344+01:00,   0.471E-04,   0.00014,   2.07812
      4,2020-11-06T09:52:17.402+01:00,   0.471E-04,   0.00019,   2.32812
      5,2020-11-06T09:52:17.458+01:00,   0.471E-04,   0.00024,   2.51562
      6,2020-11-06T09:52:17.519+01:00,   0.471E-04,   0.00028,   2.76562
      7,2020-11-06T09:52:17.587+01:00,   0.471E-04,   0.00033,   3.07812
      8,2020-11-06T09:52:17.648+01:00,   0.471E-04,   0.00038,   3.32812
      9,2020-11-06T09:52:17.704+01:00,   0.471E-04,   0.00042,   3.51562
     10,2020-11-06T09:52:17.760+01:00,   0.471E-04,   0.00047,   3.76562
     20,2020-11-06T09:52:18.347+01:00,   0.471E-04,   0.00094,   6.07812
     30,2020-11-06T09:52:18.929+01:00,   0.471E-04,   0.00141,   8.43750
     40,2020-11-06T09:52:19.545+01:00,   0.471E-04,   0.00188,  10.87500
     50,2020-11-06T09:52:20.174+01:00,   0.471E-04,   0.00236,  13.37500
     60,2020-11-06T09:52:20.787+01:00,   0.471E-04,   0.00283,  15.81250
     70,2020-11-06T09:52:21.500+01:00,   0.471E-04,   0.00330,  18.68750
     80,2020-11-06T09:52:22.405+01:00,   0.471E-04,   0.00377,  22.31250
     90,2020-11-06T09:52:23.355+01:00,   0.471E-04,   0.00424,  26.12500
    100,2020-11-06T09:52:24.157+01:00,   0.471E-04,   0.00471,  29.31250
    200,2020-11-06T09:52:31.036+01:00,   0.471E-04,   0.00942,  56.78125
    213,2020-11-06T09:52:31.827+01:00,   0.123E-04,   0.01000,  59.96875
