,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-30T14:40:18.003+01:00,   0.228E+00,   0.22822,   6.09375
      2,2020-11-30T14:40:18.153+01:00,   0.228E+00,   0.45644,   6.70312
      3,2020-11-30T14:40:18.299+01:00,   0.228E+00,   0.68465,   7.26562
      4,2020-11-30T14:40:18.478+01:00,   0.228E+00,   0.91287,   8.01562
      5,2020-11-30T14:40:18.621+01:00,   0.228E+00,   1.14109,   8.57812
      6,2020-11-30T14:40:18.760+01:00,   0.228E+00,   1.36931,   9.14062
      7,2020-11-30T14:40:18.926+01:00,   0.228E+00,   1.59752,   9.76562
      8,2020-11-30T14:40:19.082+01:00,   0.228E+00,   1.82574,  10.39062
      9,2020-11-30T14:40:19.249+01:00,   0.228E+00,   2.05396,  11.07812
     10,2020-11-30T14:40:19.458+01:00,   0.228E+00,   2.28218,  11.87500
     20,2020-11-30T14:40:21.454+01:00,   0.125E+00,   3.95638,  19.84375
     30,2020-11-30T14:40:23.314+01:00,   0.125E+00,   5.20674,  27.26562
     40,2020-11-30T14:40:25.265+01:00,   0.138E+00,   6.50712,  34.78125
     50,2020-11-30T14:40:27.140+01:00,   0.123E+00,   7.84031,  42.18750
     60,2020-11-30T14:40:28.950+01:00,   0.123E+00,   9.07499,  49.34375
     70,2020-11-30T14:40:30.777+01:00,   0.123E+00,  10.30967,  56.65625
     80,2020-11-30T14:40:32.786+01:00,   0.136E+00,  11.56905,  64.53125
     90,2020-11-30T14:40:34.631+01:00,   0.149E+00,  12.96794,  71.90625
    100,2020-11-30T14:40:36.474+01:00,   0.149E+00,  14.46191,  79.26562
    200,2020-11-30T14:40:55.425+01:00,   0.149E+00,  29.40156, 154.12500
    300,2020-11-30T14:41:13.940+01:00,   0.142E+00,  44.20820, 227.42188
    340,2020-11-30T14:41:21.545+01:00,   0.114E+00,  50.00000, 257.64062
