s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-7.0041082E-003, 3.1604099E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0009478E-003, 0.0000000E+000, 0.0000000E+000
 2.2821774E-001, 0.0000000E+000,-8.1210646E-004,-1.1560009E-002, 0.0000000E+000, 2.9109035E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2081025E-002, 1.4740645E-004, 1.4740645E-004
 4.5643547E-001, 2.6187741E+000,-8.1200885E-004, 3.8487242E-002,-4.2493706E-008, 4.2485787E-004, 0.0000000E+000, 0.0000000E+000,-2.1198380E-004, 2.6568741E+000, 2.8068682E-004, 2.8068682E-004
 6.8465322E-001, 5.0339461E+000,-6.0424213E-001, 7.2518047E-002,-6.0440036E-003, 6.0280957E-004, 0.0000000E+000, 0.0000000E+000, 2.6599699E+000, 4.4967808E+000, 3.9065635E-004, 3.9065635E-004
 9.1287094E-001, 7.0578415E+000,-1.5866116E+000, 9.0115147E-002,-2.3361978E-002, 8.4465727E-004, 0.0000000E+000, 0.0000000E+000, 4.4911384E+000, 5.5388277E+000, 4.7474336E-004, 4.7474336E-004
 1.1410886E+000, 8.6774139E+000,-3.0159376E+000, 9.1225528E-002,-5.1093653E-002, 9.4945392E-004, 0.0000000E+000, 0.0000000E+000, 5.5271739E+000, 5.7025576E+000, 5.3537388E-004, 5.3537388E-004
 1.3693064E+000, 9.8547794E+000,-4.5752322E+000, 8.1262085E-002,-7.8113161E-002, 1.7321863E-003, 0.0000000E+000, 0.0000000E+000, 5.6879744E+000, 5.2844283E+000, 5.7726498E-004, 5.7726498E-004
 1.5975242E+000, 1.0737089E+001,-4.8081127E+000, 8.9312824E-002,-8.9023231E-002, 2.2274076E-003, 0.0000000E+000, 0.0000000E+000, 5.2759686E+000, 5.9314929E+000, 6.0536227E-004, 6.0536227E-004
 1.8257419E+000, 1.1344482E+001,-4.2680825E+000, 1.0660999E-001,-8.5658578E-002, 2.3960881E-003, 0.0000000E+000, 0.0000000E+000, 5.9322562E+000, 7.0997467E+000, 6.2383456E-004, 6.2383456E-004
 2.0539596E+000, 1.1750092E+001,-3.6024705E+000, 1.2309166E-001,-7.8255337E-002, 2.4740140E-003, 0.0000000E+000, 0.0000000E+000, 7.1089748E+000, 8.1949321E+000, 6.3581979E-004, 6.3581979E-004
 2.2821772E+000, 1.2017146E+001,-2.9864390E+000, 1.3657479E-001,-7.2514571E-002, 2.5154120E-003, 0.0000000E+000, 0.0000000E+000, 8.2093003E+000, 9.0972827E+000, 6.4352964E-004, 6.4352964E-004
