,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-06T13:37:31.154+01:00,   0.185E-04,   0.00002,   0.12500
      2,2020-11-06T13:37:31.162+01:00,   0.204E-04,   0.00004,   0.18750
      3,2020-11-06T13:37:31.171+01:00,   0.224E-04,   0.00006,   0.18750
      4,2020-11-06T13:37:31.175+01:00,   0.247E-04,   0.00009,   0.25000
      5,2020-11-06T13:37:31.178+01:00,   0.271E-04,   0.00011,   0.25000
      6,2020-11-06T13:37:31.184+01:00,   0.299E-04,   0.00014,   0.25000
      7,2020-11-06T13:37:31.189+01:00,   0.329E-04,   0.00018,   0.25000
      8,2020-11-06T13:37:31.199+01:00,   0.361E-04,   0.00021,   0.31250
      9,2020-11-06T13:37:31.203+01:00,   0.397E-04,   0.00025,   0.31250
     10,2020-11-06T13:37:31.206+01:00,   0.437E-04,   0.00030,   0.31250
     20,2020-11-06T13:37:31.234+01:00,   0.113E-03,   0.00106,   0.43750
     30,2020-11-06T13:37:31.289+01:00,   0.183E-03,   0.00274,   0.68750
     40,2020-11-06T13:37:31.324+01:00,   0.183E-03,   0.00456,   0.81250
     50,2020-11-06T13:37:31.353+01:00,   0.183E-03,   0.00639,   0.93750
     60,2020-11-06T13:37:31.407+01:00,   0.183E-03,   0.00822,   1.12500
     70,2020-11-06T13:37:31.432+01:00,   0.183E-03,   0.01004,   1.25000
     80,2020-11-06T13:37:31.471+01:00,   0.183E-03,   0.01187,   1.37500
     90,2020-11-06T13:37:31.520+01:00,   0.183E-03,   0.01370,   1.59375
    100,2020-11-06T13:37:31.571+01:00,   0.183E-03,   0.01552,   1.76562
    200,2020-11-06T13:37:31.852+01:00,   0.183E-03,   0.03379,   2.89062
    300,2020-11-06T13:37:32.128+01:00,   0.183E-03,   0.05205,   3.95312
    400,2020-11-06T13:37:32.397+01:00,   0.183E-03,   0.07032,   5.07812
    500,2020-11-06T13:37:32.711+01:00,   0.183E-03,   0.08858,   6.20312
    600,2020-11-06T13:37:33.008+01:00,   0.183E-03,   0.10685,   7.37500
    700,2020-11-06T13:37:33.308+01:00,   0.163E-03,   0.12321,   8.56250
    800,2020-11-06T13:37:33.625+01:00,   0.163E-03,   0.13955,   9.81250
    900,2020-11-06T13:37:33.963+01:00,   0.163E-03,   0.15589,  11.15625
   1000,2020-11-06T13:37:34.282+01:00,   0.163E-03,   0.17223,  12.37500
   1100,2020-11-06T13:37:34.652+01:00,   0.163E-03,   0.18858,  13.85938
   1200,2020-11-06T13:37:35.010+01:00,   0.146E-03,   0.20321,  15.29688
   1300,2020-11-06T13:37:35.320+01:00,   0.146E-03,   0.21784,  16.51562
   1400,2020-11-06T13:37:35.670+01:00,   0.146E-03,   0.23248,  17.89062
   1500,2020-11-06T13:37:36.050+01:00,   0.146E-03,   0.24711,  19.45312
   1600,2020-11-06T13:37:36.399+01:00,   0.146E-03,   0.26175,  20.79688
   1700,2020-11-06T13:37:36.740+01:00,   0.146E-03,   0.27638,  22.17188
   1800,2020-11-06T13:37:37.113+01:00,   0.131E-03,   0.29032,  23.67188
   1900,2020-11-06T13:37:37.479+01:00,   0.131E-03,   0.30345,  25.10938
   2000,2020-11-06T13:37:37.822+01:00,   0.131E-03,   0.31658,  26.46875
