s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile"
 0.0000000E+000, 3.5746222E+001, 3.6001669E+001, 3.6233201E+001, 3.6379116E+001, 3.6377304E+001, 3.6186676E+001, 3.5806808E+001, 3.5286281E+001, 3.4713719E+001, 3.4193192E+001, 3.3813324E+001, 3.3622696E+001, 3.3620884E+001, 3.3766799E+001, 3.3998331E+001, 3.4253778E+001
 1.1114286E-004, 3.5724349E+001, 3.5972320E+001, 3.6197050E+001, 3.6338648E+001, 3.6336853E+001, 3.6151813E+001, 3.5783118E+001, 3.5277879E+001, 3.4722080E+001, 3.4216751E+001, 3.3847976E+001, 3.3662957E+001, 3.3661279E+001, 3.3803011E+001, 3.4027820E+001, 3.4275801E+001
 2.2228571E-004, 3.5661984E+001, 3.5888647E+001, 3.6094006E+001, 3.6223336E+001, 3.6221642E+001, 3.6052579E+001, 3.5715747E+001, 3.5254072E+001, 3.4746022E+001, 3.4283969E+001, 3.3946757E+001, 3.3777668E+001, 3.3776321E+001, 3.3906102E+001, 3.4111751E+001, 3.4338472E+001
 3.3342857E-004, 3.5568835E+001, 3.5763690E+001, 3.5940178E+001, 3.6051297E+001, 3.6049876E+001, 3.5904751E+001, 3.5615507E+001, 3.5218826E+001, 3.4781989E+001, 3.4384456E+001, 3.4094256E+001, 3.3948821E+001, 3.3947848E+001, 3.4059717E+001, 3.4236759E+001, 3.4431790E+001
 4.4457142E-004, 3.5458591E+001, 3.5615829E+001, 3.5758241E+001, 3.5847954E+001, 3.5847004E+001, 3.5730277E+001, 3.5497306E+001, 3.5177430E+001, 3.4824755E+001, 3.4503483E+001, 3.4268807E+001, 3.4151215E+001, 3.4150529E+001, 3.4241099E+001, 3.4384273E+001, 3.4541864E+001
 5.5571428E-004, 3.5345816E+001, 3.5464612E+001, 3.5572260E+001, 3.5640208E+001, 3.5639833E+001, 3.5552143E+001, 3.5376619E+001, 3.5135176E+001, 3.4868537E+001, 3.4625290E+001, 3.4447422E+001, 3.4358246E+001, 3.4357726E+001, 3.4426387E+001, 3.4534863E+001, 3.4654173E+001
 6.6685714E-004, 3.5242938E+001, 3.5326695E+001, 3.5402692E+001, 3.5450843E+001, 3.5450986E+001, 3.5389673E+001, 3.5266385E+001, 3.5096385E+001, 3.4908278E+001, 3.4736388E+001, 3.4610525E+001, 3.4547346E+001, 3.4546924E+001, 3.4595485E+001, 3.4672203E+001, 3.4756535E+001
 7.7799999E-004, 3.5158143E+001, 3.5213031E+001, 3.5262951E+001, 3.5294764E+001, 3.5295241E+001, 3.5255501E+001, 3.5175097E+001, 3.5063927E+001, 3.4940685E+001, 3.4827892E+001, 3.4745193E+001, 3.4703624E+001, 3.4703307E+001, 3.4735208E+001, 3.4785618E+001, 3.4841005E+001
 8.8914285E-004, 3.5094693E+001, 3.5127963E+001, 3.5158337E+001, 3.5177852E+001, 3.5178456E+001, 3.5154708E+001, 3.5106280E+001, 3.5039135E+001, 3.4964592E+001, 3.4896306E+001, 3.4846206E+001, 3.4821014E+001, 3.4820837E+001, 3.4840210E+001, 3.4870809E+001, 3.4904404E+001
 1.0002857E-003, 3.5051595E+001, 3.5070146E+001, 3.5087183E+001, 3.5098259E+001, 3.5098851E+001, 3.5085882E+001, 3.5059140E+001, 3.5021949E+001, 3.4980623E+001, 3.4942772E+001, 3.4915023E+001, 3.4901106E+001, 3.4901079E+001, 3.4911906E+001, 3.4928957E+001, 3.4947644E+001
 1.1114286E-003, 3.5025130E+001, 3.5034595E+001, 3.5043378E+001, 3.5049203E+001, 3.5049733E+001, 3.5043365E+001, 3.5029972E+001, 3.5011246E+001, 3.4990418E+001, 3.4971362E+001, 3.4957434E+001, 3.4950509E+001, 3.4950599E+001, 3.4956159E+001, 3.4964836E+001, 3.4974303E+001
 1.2225714E-003, 3.5010554E+001, 3.5014972E+001, 3.5019155E+001, 3.5022038E+001, 3.5022510E+001, 3.5019795E+001, 3.5013809E+001, 3.5005329E+001, 3.4995856E+001, 3.4987196E+001, 3.4980905E+001, 3.4977840E+001, 3.4977993E+001, 3.4980635E+001, 3.4984673E+001, 3.4989029E+001
 1.3337143E-003, 3.5003446E+001, 3.5005367E+001, 3.5007265E+001, 3.5008678E+001, 3.5009108E+001, 3.5008193E+001, 3.5005867E+001, 3.5002442E+001, 3.4998560E+001, 3.4995001E+001, 3.4992442E+001, 3.4991255E+001, 3.4991427E+001, 3.4992632E+001, 3.4994389E+001, 3.4996231E+001
 1.4448571E-003, 3.5000434E+001, 3.5001267E+001, 3.5002165E+001, 3.5002927E+001, 3.5003322E+001, 3.5003173E+001, 3.5002422E+001, 3.5001182E+001, 3.4999718E+001, 3.4998362E+001, 3.4997412E+001, 3.4997030E+001, 3.4997206E+001, 3.4997788E+001, 3.4998558E+001, 3.4999314E+001
 1.5560000E-003, 3.4999346E+001, 3.4999765E+001, 3.5000277E+001, 3.5000778E+001, 3.5001142E+001, 3.5001259E+001, 3.5001083E+001, 3.5000657E+001, 3.5000107E+001, 3.4999595E+001, 3.4999269E+001, 3.4999205E+001, 3.4999390E+001, 3.4999738E+001, 3.5000132E+001, 3.5000473E+001
 1.6671428E-003, 3.4999008E+001, 3.4999283E+001, 3.4999657E+001, 3.5000058E+001, 3.5000394E+001, 3.5000583E+001, 3.5000585E+001, 3.5000425E+001, 3.5000186E+001, 3.4999976E+001, 3.4999883E+001, 3.4999948E+001, 3.5000149E+001, 3.5000421E+001, 3.5000685E+001, 3.5000879E+001
