,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-07T19:10:29.030+02:00,   0.556E-04,   0.00006,   1.26562
      2,2020-10-07T19:10:29.079+02:00,   0.556E-04,   0.00011,   1.45312
      3,2020-10-07T19:10:29.124+02:00,   0.556E-04,   0.00017,   1.64062
      4,2020-10-07T19:10:29.170+02:00,   0.556E-04,   0.00022,   1.82812
      5,2020-10-07T19:10:29.215+02:00,   0.556E-04,   0.00028,   2.01562
      6,2020-10-07T19:10:29.263+02:00,   0.556E-04,   0.00033,   2.20312
      7,2020-10-07T19:10:29.311+02:00,   0.556E-04,   0.00039,   2.39062
      8,2020-10-07T19:10:29.360+02:00,   0.556E-04,   0.00044,   2.57812
      9,2020-10-07T19:10:29.404+02:00,   0.556E-04,   0.00050,   2.76562
     10,2020-10-07T19:10:29.454+02:00,   0.556E-04,   0.00056,   2.95312
     20,2020-10-07T19:10:29.937+02:00,   0.556E-04,   0.00111,   4.89062
     30,2020-10-07T19:10:30.419+02:00,   0.556E-04,   0.00167,   6.82812
     40,2020-10-07T19:10:30.898+02:00,   0.556E-04,   0.00222,   8.76562
     50,2020-10-07T19:10:31.357+02:00,   0.556E-04,   0.00278,  10.57812
     60,2020-10-07T19:10:31.893+02:00,   0.556E-04,   0.00333,  12.70312
     70,2020-10-07T19:10:32.569+02:00,   0.556E-04,   0.00389,  15.43750
     80,2020-10-07T19:10:33.341+02:00,   0.556E-04,   0.00445,  18.50000
     90,2020-10-07T19:10:34.062+02:00,   0.556E-04,   0.00500,  21.35938
    100,2020-10-07T19:10:34.806+02:00,   0.556E-04,   0.00556,  24.32812
    180,2020-10-07T19:10:38.622+02:00,   0.527E-04,   0.01000,  39.57812
