s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-8.5334396E-004,-1.9575752E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5530153E-004, 0.0000000E+000, 0.0000000E+000
 2.2821774E-001, 0.0000000E+000,-1.6606717E-005,-3.0040298E-004, 0.0000000E+000, 3.1506280E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9468964E-006, 1.4740645E-004, 1.4740645E-004
 4.5643547E-001, 2.6154181E+000,-1.6829571E-005, 4.4693496E-002,-2.6676797E-007, 4.6590650E-004, 0.0000000E+000, 0.0000000E+000, 4.8649943E-004, 2.6605604E+000, 2.8068682E-004, 2.8068682E-004
 6.8465322E-001, 5.0335285E+000,-6.0238126E-001, 7.5883537E-002,-6.0348542E-003, 6.0840970E-004, 0.0000000E+000, 0.0000000E+000, 2.6573155E+000, 4.5016043E+000, 3.9065635E-004, 3.9065635E-004
 9.1287094E-001, 7.0684720E+000,-1.5849587E+000, 9.3595764E-002,-2.3373762E-002, 8.5962776E-004, 0.0000000E+000, 0.0000000E+000, 4.4925606E+000, 5.5545949E+000, 4.7474336E-004, 4.7474336E-004
 1.1410886E+000, 8.6614565E+000,-3.0125019E+000, 9.5871079E-002,-5.1070102E-002, 1.1101886E-003, 0.0000000E+000, 0.0000000E+000, 5.5394666E+000, 5.6948658E+000, 5.3537388E-004, 5.3537388E-004
 1.3693064E+000, 9.8544472E+000,-4.5496337E+000, 8.9133429E-002,-7.7691044E-002, 1.7487741E-003, 0.0000000E+000, 0.0000000E+000, 5.6755327E+000, 5.3180046E+000, 5.7726498E-004, 5.7726498E-004
 1.5975242E+000, 1.0737006E+001,-4.7881510E+000, 9.9740251E-002,-8.8544712E-002, 2.2289229E-003, 0.0000000E+000, 0.0000000E+000, 5.3020388E+000, 5.9622795E+000, 6.0536227E-004, 6.0536227E-004
 1.8257419E+000, 1.1344432E+001,-4.2564456E+000, 1.1928395E-001,-8.5212873E-002, 2.3964157E-003, 0.0000000E+000, 0.0000000E+000, 5.9530028E+000, 7.1244540E+000, 6.2383456E-004, 6.2383456E-004
 2.0539596E+000, 1.1750059E+001,-3.5957336E+000, 1.3765170E-001,-7.8030049E-002, 2.4741062E-003, 0.0000000E+000, 0.0000000E+000, 7.1212296E+000, 8.2164210E+000, 6.3581979E-004, 6.3581979E-004
 2.2821772E+000, 1.2017151E+001,-2.9847893E+000, 1.5272402E-001,-7.2577808E-002, 2.5154131E-003, 0.0000000E+000, 0.0000000E+000, 8.2161650E+000, 9.1150230E+000, 6.4352964E-004, 6.4352964E-004
 2.5103951E+000, 1.2190696E+001,-2.8030480E+000, 1.5877236E-001,-7.1531149E-002, 2.5383401E-003, 0.0000000E+000, 0.0000000E+000, 9.1132099E+000, 9.4774278E+000, 6.4846189E-004, 6.4846189E-004
 2.7154315E+000, 1.2832753E+001,-5.6630801E+000, 1.2117718E-001,-7.2645065E-002, 2.5490360E-003, 0.0000000E+000, 0.0000000E+000, 9.4753396E+000, 7.2207536E+000, 6.5134754E-004, 6.5134754E-004
 2.9204679E+000, 1.2579665E+001,-3.7955304E+000, 1.4840365E-001,-7.8212508E-002, 2.5532100E-003, 0.0000000E+000, 0.0000000E+000, 7.2181378E+000, 8.8568792E+000, 6.5326952E-004, 6.5326952E-004
 3.0841947E+000, 1.3542080E+001,-3.1944506E+000, 1.7497291E-001,-8.5186082E-002, 2.5502914E-003, 0.0000000E+000, 0.0000000E+000, 8.8523178E+000, 1.0439966E+001, 6.5433066E-004, 6.5433066E-004
 3.2479215E+000, 1.2980870E+001,-3.2733267E+000, 1.6369376E-001,-9.6774760E-002, 2.5466565E-003, 0.0000000E+000, 0.0000000E+000, 1.0432996E+001, 9.7770094E+000, 6.5509656E-004, 6.5509656E-004
 3.4116483E+000, 1.2715965E+001,-2.9333937E+000, 1.6469186E-001,-1.0507080E-001, 2.5446693E-003, 0.0000000E+000, 0.0000000E+000, 9.7719594E+000, 9.8447371E+000, 6.5564913E-004, 6.5564913E-004
 3.5475307E+000, 1.3324801E+001,-3.2715865E+000, 1.6923105E-001,-1.1061078E-001, 2.5457944E-003, 0.0000000E+000, 0.0000000E+000, 9.8400993E+000, 1.0114381E+001, 6.5598877E-004, 6.5598877E-004
 3.6834128E+000, 1.2943511E+001,-3.6111514E+000, 1.5675296E-001,-1.1630196E-001, 2.5492804E-003, 0.0000000E+000, 0.0000000E+000, 1.0108798E+001, 9.3753601E+000, 6.5624770E-004, 6.5624770E-004
 3.8192952E+000, 1.2736743E+001,-3.5022496E+000, 1.5498061E-001,-1.1817383E-001, 2.5539170E-003, 0.0000000E+000, 0.0000000E+000, 9.3712534E+000, 9.2738541E+000, 6.5644508E-004, 6.5644508E-004
 3.9551773E+000, 1.2625158E+001,-3.3903211E+000, 1.5492745E-001,-1.1924000E-001, 2.5579573E-003, 0.0000000E+000, 0.0000000E+000, 9.2699158E+000, 9.2730826E+000, 6.5659553E-004, 6.5659553E-004
 4.0761037E+000, 1.2953971E+001,-3.2981246E+000, 1.6212949E-001,-1.2071031E-001, 2.5606797E-003, 0.0000000E+000, 0.0000000E+000, 9.2684568E+000, 9.6998266E+000, 6.5669905E-004, 6.5669905E-004
 4.1970305E+000, 1.2763079E+001,-3.3415253E+000, 1.5800720E-001,-1.2549388E-001, 2.5623256E-003, 0.0000000E+000, 0.0000000E+000, 9.6940121E+000, 9.4566290E+000, 6.5678034E-004, 6.5678034E-004
 4.3179569E+000, 1.2651748E+001,-3.2797137E+000, 1.5702420E-001,-1.3247657E-001, 2.5631168E-003, 0.0000000E+000, 0.0000000E+000, 9.4497354E+000, 9.3991449E+000, 6.5684418E-004, 6.5684418E-004
 4.4388833E+000, 1.2587014E+001,-3.2294961E+000, 1.5659385E-001,-1.4290846E-001, 2.5630532E-003, 0.0000000E+000, 0.0000000E+000, 9.3905881E+000, 9.3737668E+000, 6.5689431E-004, 6.5689431E-004
 4.5598102E+000, 1.2549433E+001,-3.1908804E+000, 1.5636413E-001,-1.5807088E-001, 2.5623743E-003, 0.0000000E+000, 0.0000000E+000, 9.3628764E+000, 9.3594080E+000, 6.5693367E-004, 6.5693367E-004
 4.6807365E+000, 1.2527706E+001,-3.2076650E+000, 1.5535629E-001,-1.7864981E-001, 2.5613442E-003, 0.0000000E+000, 0.0000000E+000, 9.3458398E+000, 9.2993085E+000, 6.5696458E-004, 6.5696458E-004
 4.8016629E+000, 1.2515234E+001,-3.2441285E+000, 1.5400687E-001,-2.0386262E-001, 2.5602318E-003, 0.0000000E+000, 0.0000000E+000, 9.2829995E+000, 9.2238100E+000, 6.5698884E-004, 6.5698884E-004
 4.9225898E+000, 1.2508115E+001,-3.2908416E+000, 1.5231378E-001,-2.3269174E-001, 2.5592327E-003, 0.0000000E+000, 0.0000000E+000, 9.2057120E+000, 9.1394544E+000, 6.5700790E-004, 6.5700790E-004
 5.0435162E+000, 1.2504143E+001,-3.3264050E+000, 1.5055866E-001,-2.6367536E-001, 2.5584730E-003, 0.0000000E+000, 0.0000000E+000, 9.1198132E+000, 9.0671801E+000, 6.5702286E-004, 6.5702286E-004
 5.1644430E+000, 1.2501995E+001,-3.3579534E+000, 1.4729497E-001,-2.9508528E-001, 2.5579889E-003, 0.0000000E+000, 0.0000000E+000, 9.0467527E+000, 8.9988093E+000, 6.5703461E-004, 6.5703461E-004
 5.2974620E+000, 1.2200906E+001,-3.3581450E+000, 1.3224924E-001,-3.2675969E-001, 2.5577139E-003, 0.0000000E+000, 0.0000000E+000, 8.9758209E+000, 8.6508087E+000, 6.5704464E-004, 6.5704464E-004
 5.4304814E+000, 1.2333927E+001,-3.2830953E+000, 1.1468545E-001,-3.5580034E-001, 2.5575680E-003, 0.0000000E+000, 0.0000000E+000, 8.6230181E+000, 8.8122747E+000, 6.5705233E-004, 6.5705233E-004
 5.5635004E+000, 1.2407749E+001,-3.2914940E+000, 8.2882035E-002,-3.8316803E-001, 2.5572481E-003, 0.0000000E+000, 0.0000000E+000, 8.7790380E+000, 8.8185263E+000, 6.5705822E-004, 6.5705822E-004
 5.6965194E+000, 1.2448789E+001,-3.3098225E+000, 3.2223767E-002,-4.0931271E-001, 2.5568259E-003, 0.0000000E+000, 0.0000000E+000, 8.7797748E+000, 8.7644345E+000, 6.5706273E-004, 6.5706273E-004
 5.8295388E+000, 1.2471588E+001,-3.3166518E+000,-3.4704684E-002,-4.3567091E-001, 2.5561697E-003, 0.0000000E+000, 0.0000000E+000, 8.7163535E+000, 8.6871165E+000, 6.5706619E-004, 6.5706619E-004
 5.9625578E+000, 1.2484242E+001,-3.3173753E+000,-1.0625612E-001,-4.6229724E-001, 2.5551488E-003, 0.0000000E+000, 0.0000000E+000, 8.6354157E+000, 8.6008685E+000, 6.5706885E-004, 6.5706885E-004
 6.0955772E+000, 1.2491271E+001,-3.3167084E+000,-1.7183301E-001,-4.8678623E-001, 2.5536204E-003, 0.0000000E+000, 0.0000000E+000, 8.5512613E+000, 8.5184965E+000, 6.5707088E-004, 6.5707088E-004
 6.2285962E+000, 1.2495191E+001,-3.3193694E+000,-2.2688894E-001,-5.0898353E-001, 2.5513803E-003, 0.0000000E+000, 0.0000000E+000, 8.4747015E+000, 8.4425007E+000, 6.5707244E-004, 6.5707244E-004
 6.3749175E+000, 1.2171531E+001,-3.3252199E+000,-2.8153190E-001,-5.3251326E-001, 2.5481252E-003, 0.0000000E+000, 0.0000000E+000, 8.4020112E+000, 8.0348143E+000, 6.5707373E-004, 6.5707373E-004
 6.5212388E+000, 1.2328277E+001,-3.2465464E+000,-3.1074716E-001,-5.5075472E-001, 2.5431177E-003, 0.0000000E+000, 0.0000000E+000, 8.0054728E+000, 8.2227722E+000, 6.5707470E-004, 6.5707470E-004
 6.6675596E+000, 1.2410194E+001,-3.2846065E+000,-3.3256173E-001,-5.6655019E-001, 2.5337131E-003, 0.0000000E+000, 0.0000000E+000, 8.2027759E+000, 8.2290096E+000, 6.5707542E-004, 6.5707542E-004
 6.8138809E+000, 1.2453074E+001,-3.3329987E+000,-3.4583852E-001,-5.7964965E-001, 2.5204234E-003, 0.0000000E+000, 0.0000000E+000, 8.2152904E+000, 8.1971080E+000, 6.5707596E-004, 6.5707596E-004
 6.9602022E+000, 1.2475476E+001,-3.3662106E+000,-3.5054399E-001,-5.9019571E-001, 2.5101477E-003, 0.0000000E+000, 0.0000000E+000, 8.1899023E+000, 8.1710361E+000, 6.5707636E-004, 6.5707636E-004
 7.1065230E+000, 1.2487149E+001,-3.3910839E+000,-3.4990593E-001,-5.9945701E-001, 2.5083237E-003, 0.0000000E+000, 0.0000000E+000, 8.1682591E+000, 8.1492108E+000, 6.5707667E-004, 6.5707667E-004
 7.2379613E+000, 1.2867898E+001,-3.4063045E+000,-3.3936513E-001,-6.0887092E-001, 2.5172721E-003, 0.0000000E+000, 0.0000000E+000, 8.1454116E+000, 8.5158745E+000, 6.5707687E-004, 6.5707687E-004
 7.3694000E+000, 1.2705461E+001,-3.5120781E+000,-3.3515280E-001,-6.2043390E-001, 2.5287519E-003, 0.0000000E+000, 0.0000000E+000, 8.5155544E+000, 8.2403246E+000, 6.5707703E-004, 6.5707703E-004
 7.5008383E+000, 1.2614781E+001,-3.4979959E+000,-3.2531879E-001,-6.3360200E-001, 2.5365897E-003, 0.0000000E+000, 0.0000000E+000, 8.2414844E+000, 8.1604005E+000, 6.5707715E-004, 6.5707715E-004
 7.6322765E+000, 1.2564079E+001,-3.5187419E+000,-3.1240049E-001,-6.4597495E-001, 2.5428037E-003, 0.0000000E+000, 0.0000000E+000, 8.1638350E+000, 8.0895041E+000, 6.5707724E-004, 6.5707724E-004
 7.7637148E+000, 1.2535756E+001,-3.4611137E+000,-2.9760196E-001,-6.5874939E-001, 2.5473064E-003, 0.0000000E+000, 0.0000000E+000, 8.0930558E+000, 8.1208381E+000, 6.5707731E-004, 6.5707731E-004
 7.8951530E+000, 1.2519912E+001,-3.4404195E+000,-2.8410085E-001,-6.7226217E-001, 2.5506050E-003, 0.0000000E+000, 0.0000000E+000, 8.1230585E+000, 8.1256801E+000, 6.5707737E-004, 6.5707737E-004
 8.0265913E+000, 1.2511055E+001,-3.4293254E+000,-2.7187181E-001,-6.8563568E-001, 2.5530176E-003, 0.0000000E+000, 0.0000000E+000, 8.1273694E+000, 8.1267747E+000, 6.5707741E-004, 6.5707741E-004
 8.1580296E+000, 1.2506102E+001,-4.6062450E+000,-2.8114412E-001,-6.9850121E-001, 2.5547736E-003, 0.0000000E+000, 0.0000000E+000, 8.1280526E+000, 6.9227662E+000, 6.5707744E-004, 6.5707744E-004
 8.2894678E+000, 1.2503462E+001,-3.9516205E+000,-2.6059426E-001,-7.1020651E-001, 2.5562830E-003, 0.0000000E+000, 0.0000000E+000, 6.9237292E+000, 7.5835966E+000, 6.5707747E-004, 6.5707747E-004
 8.4209061E+000, 1.2501576E+001,-3.7830522E+000,-2.4902514E-001,-7.2337476E-001, 2.5568587E-003, 0.0000000E+000, 0.0000000E+000, 7.5840576E+000, 7.7486806E+000, 6.5707748E-004, 6.5707748E-004
 8.5523443E+000, 1.2500775E+001,-3.6990924E+000,-2.4015421E-001,-7.3612725E-001, 2.5573503E-003, 0.0000000E+000, 0.0000000E+000, 7.7490328E+000, 7.8279586E+000, 6.5707750E-004, 6.5707750E-004
 8.6837826E+000, 1.2500460E+001,-3.6551323E+000,-2.3235216E-001,-7.4839352E-001, 2.5579299E-003, 0.0000000E+000, 0.0000000E+000, 7.8266575E+000, 7.8671403E+000, 6.5707751E-004, 6.5707751E-004
 8.8152208E+000, 1.2500363E+001,-3.6183896E+000,-2.2500360E-001,-7.6086607E-001, 2.5584993E-003, 0.0000000E+000, 0.0000000E+000, 7.8657724E+000, 7.8986619E+000, 6.5707752E-004, 6.5707752E-004
 8.9466600E+000, 1.2500261E+001,-3.5550076E+000,-2.1731434E-001,-7.7460076E-001, 2.5589889E-003, 0.0000000E+000, 0.0000000E+000, 7.8979106E+000, 7.9558973E+000, 6.5707753E-004, 6.5707753E-004
 9.0780983E+000, 1.2500189E+001,-3.4922577E+000,-2.0941922E-001,-7.8273555E-001, 2.5593804E-003, 0.0000000E+000, 0.0000000E+000, 7.9575495E+000, 8.0183360E+000, 6.5707753E-004, 6.5707753E-004
 9.2095366E+000, 1.2500104E+001,-3.4277387E+000,-2.0411418E-001,-7.9215094E-001, 2.5596271E-003, 0.0000000E+000, 0.0000000E+000, 8.0175084E+000, 8.0786594E+000, 6.5707754E-004, 6.5707754E-004
 9.3409748E+000, 1.2500001E+001,-3.3613225E+000,-2.0323026E-001,-8.0091599E-001, 2.5597382E-003, 0.0000000E+000, 0.0000000E+000, 8.0763309E+000, 8.1370920E+000, 6.5707754E-004, 6.5707754E-004
 9.4724131E+000, 1.2499830E+001,-3.3065920E+000,-2.1132878E-001,-8.0886499E-001, 2.5597291E-003, 0.0000000E+000, 0.0000000E+000, 8.1322602E+000, 8.1756034E+000, 6.5707754E-004, 6.5707754E-004
 9.6038513E+000, 1.2499524E+001,-3.6876122E+000,-2.3626481E-001,-8.1613790E-001, 2.5596241E-003, 0.0000000E+000, 0.0000000E+000, 8.1644091E+000, 7.7620684E+000, 6.5707754E-004, 6.5707754E-004
 9.7352896E+000, 1.2499714E+001,-3.5375416E+000,-2.6666993E-001,-8.2034018E-001, 2.5594429E-003, 0.0000000E+000, 0.0000000E+000, 7.7467543E+000, 7.8777216E+000, 6.5707754E-004, 6.5707754E-004
 9.8667278E+000, 1.2497852E+001,-3.4658977E+000,-3.1232697E-001,-8.2517613E-001, 2.5591936E-003, 0.0000000E+000, 0.0000000E+000, 7.8535927E+000, 7.8970107E+000, 6.5707754E-004, 6.5707754E-004
 9.9981661E+000, 1.2496660E+001,-3.3955116E+000,-3.6765122E-001,-8.3058023E-001, 2.5588960E-003, 0.0000000E+000, 0.0000000E+000, 7.8671672E+000, 7.9054757E+000, 6.5707755E-004, 6.5707755E-004
 1.0129604E+001, 1.2495753E+001,-3.4274635E+000,-4.2800942E-001,-8.3697774E-001, 2.5585324E-003, 0.0000000E+000, 0.0000000E+000, 7.8722617E+000, 7.8058605E+000, 6.5707755E-004, 6.5707755E-004
 1.0261043E+001, 1.2494845E+001,-3.4122918E+000,-4.8297371E-001,-8.4461437E-001, 2.5581133E-003, 0.0000000E+000, 0.0000000E+000, 7.7725935E+000, 7.7575235E+000, 6.5707755E-004, 6.5707755E-004
 1.0392481E+001, 1.2493983E+001,-3.3939150E+000,-5.2991110E-001,-8.5342983E-001, 2.5575907E-003, 0.0000000E+000, 0.0000000E+000, 7.7270510E+000, 7.7192843E+000, 6.5707755E-004, 6.5707755E-004
 1.0523919E+001, 1.2493462E+001,-3.4086242E+000,-5.6958031E-001,-8.6355780E-001, 2.5569563E-003, 0.0000000E+000, 0.0000000E+000, 7.6922998E+000, 7.6542570E+000, 6.5707755E-004, 6.5707755E-004
 1.0655357E+001, 1.2493580E+001,-3.4260819E+000,-6.0195840E-001,-8.7521082E-001, 2.5562039E-003, 0.0000000E+000, 0.0000000E+000, 7.6296602E+000, 7.5928851E+000, 6.5707755E-004, 6.5707755E-004
 1.0786796E+001, 1.2494408E+001,-3.4566739E+000,-6.3011110E-001,-8.8719051E-001, 2.5553366E-003, 0.0000000E+000, 0.0000000E+000, 7.5715462E+000, 7.5229876E+000, 6.5707755E-004, 6.5707755E-004
 1.0918235E+001, 1.2495864E+001,-3.5301891E+000,-6.5258587E-001,-8.9949558E-001, 2.5544126E-003, 0.0000000E+000, 0.0000000E+000, 7.5033290E+000, 7.4161483E+000, 6.5707755E-004, 6.5707755E-004
 1.1049673E+001, 1.2497665E+001,-3.5610942E+000,-6.7493834E-001,-9.1100589E-001, 2.5535163E-003, 0.0000000E+000, 0.0000000E+000, 7.3996996E+000, 7.3531804E+000, 6.5707755E-004, 6.5707755E-004
 1.1181111E+001, 1.2499249E+001,-3.5945407E+000,-6.9259609E-001,-9.2127839E-001, 2.5527330E-003, 0.0000000E+000, 0.0000000E+000, 7.3367715E+000, 7.2933867E+000, 6.5707755E-004, 6.5707755E-004
 1.1312550E+001, 1.2500547E+001,-3.6214258E+000,-7.1354554E-001,-9.3174848E-001, 2.5521335E-003, 0.0000000E+000, 0.0000000E+000, 7.2769975E+000, 7.2363790E+000, 6.5707755E-004, 6.5707755E-004
 1.1443988E+001, 1.2501732E+001,-3.6163237E+000,-7.4192599E-001,-9.3571702E-001, 2.5517527E-003, 0.0000000E+000, 0.0000000E+000, 7.2205165E+000, 7.2103174E+000, 6.5707755E-004, 6.5707755E-004
 1.1575426E+001, 1.2501981E+001,-3.6403037E+000,-7.8464676E-001,-9.3606316E-001, 2.5516084E-003, 0.0000000E+000, 0.0000000E+000, 7.1906990E+000, 7.1435194E+000, 6.5707755E-004, 6.5707755E-004
