,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-08T17:38:49.684+02:00,   0.228E+00,   0.22822,   9.20312
      2,2020-10-08T17:38:49.825+02:00,   0.228E+00,   0.45644,  10.32812
      3,2020-10-08T17:38:49.950+02:00,   0.228E+00,   0.68465,  11.31250
      4,2020-10-08T17:38:50.106+02:00,   0.228E+00,   0.91287,  12.54688
      5,2020-10-08T17:38:50.231+02:00,   0.228E+00,   1.14109,  13.53125
      6,2020-10-08T17:38:50.356+02:00,   0.228E+00,   1.36931,  14.53125
      7,2020-10-08T17:38:50.513+02:00,   0.228E+00,   1.59752,  15.71875
      8,2020-10-08T17:38:50.638+02:00,   0.228E+00,   1.82574,  16.71875
      9,2020-10-08T17:38:50.778+02:00,   0.228E+00,   2.05396,  17.84375
     10,2020-10-08T17:38:50.919+02:00,   0.228E+00,   2.28218,  18.96875
     20,2020-10-08T17:38:52.408+02:00,   0.136E+00,   3.95518,  30.68750
     30,2020-10-08T17:38:53.783+02:00,   0.121E+00,   5.16444,  41.62500
     40,2020-10-08T17:38:55.158+02:00,   0.146E+00,   6.52124,  52.57812
     50,2020-10-08T17:38:56.548+02:00,   0.131E+00,   7.89515,  63.65625
     60,2020-10-08T17:38:57.892+02:00,   0.131E+00,   9.20954,  74.37500
     70,2020-10-08T17:38:59.267+02:00,   0.131E+00,  10.52392,  85.35938
     80,2020-10-08T17:39:00.626+02:00,   0.131E+00,  11.83830,  96.14062
     90,2020-10-08T17:39:01.985+02:00,   0.145E+00,  13.27098, 106.96875
    100,2020-10-08T17:39:03.360+02:00,   0.145E+00,  14.71680, 117.93750
    200,2020-10-08T17:39:17.024+02:00,   0.159E+00,  29.56539, 225.96875
    300,2020-10-08T17:39:31.714+02:00,   0.172E+00,  45.34913, 334.62500
    400,2020-10-08T17:39:46.074+02:00,   0.171E+00,  62.67001, 443.81250
    500,2020-10-08T17:39:59.889+02:00,   0.194E+00,  80.09959, 553.40625
    600,2020-10-08T17:40:14.137+02:00,   0.189E+00,  97.67291, 662.68750
    700,2020-10-08T17:40:28.199+02:00,   0.166E+00, 115.18519, 774.59375
    728,2020-10-08T17:40:32.094+02:00,   0.412E-01, 120.00000, 805.40625
