s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-6.4505515E-003, 3.1604099E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4473911E-003, 0.0000000E+000, 0.0000000E+000
 2.2821774E-001, 0.0000000E+000,-7.7269806E-004,-1.5570298E-002, 0.0000000E+000, 2.9109035E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6051906E-002, 1.4740645E-004, 1.4740645E-004
 4.5643547E-001, 2.6187746E+000,-7.7263901E-004, 3.5683108E-002,-1.9982541E-007, 4.2485097E-004, 0.0000000E+000, 0.0000000E+000,-1.2793724E-004, 2.6541097E+000, 2.8068682E-004, 2.8068682E-004
 6.8465322E-001, 5.0339508E+000,-6.0420286E-001, 7.1867401E-002,-6.0443425E-003, 6.0279400E-004, 0.0000000E+000, 0.0000000E+000, 2.6600365E+000, 4.4961738E+000, 3.9065635E-004, 3.9065635E-004
 9.1287094E-001, 7.0578456E+000,-1.5865908E+000, 9.1455280E-002,-2.3362472E-002, 8.4463998E-004, 0.0000000E+000, 0.0000000E+000, 4.4912114E+000, 5.5401922E+000, 4.7474336E-004, 4.7474336E-004
 1.1410886E+000, 8.6774861E+000,-3.0159370E+000, 9.3677639E-002,-5.1094900E-002, 9.4923357E-004, 0.0000000E+000, 0.0000000E+000, 5.5272167E+000, 5.7050811E+000, 5.3537388E-004, 5.3537388E-004
 1.3693064E+000, 9.8547846E+000,-4.5752628E+000, 8.4051017E-002,-7.8114823E-002, 1.7322269E-003, 0.0000000E+000, 0.0000000E+000, 5.6880563E+000, 5.2871903E+000, 5.7726498E-004, 5.7726498E-004
 1.5975242E+000, 1.0737092E+001,-4.8080794E+000, 9.1941020E-002,-8.9023681E-002, 2.2274188E-003, 0.0000000E+000, 0.0000000E+000, 5.2759508E+000, 5.9341572E+000, 6.0536227E-004, 6.0536227E-004
 1.8257419E+000, 1.1344483E+001,-4.2680358E+000, 1.0883083E-001,-8.5658689E-002, 2.3960906E-003, 0.0000000E+000, 0.0000000E+000, 5.9323090E+000, 7.1020152E+000, 6.2383456E-004, 6.2383456E-004
 2.0539596E+000, 1.1750092E+001,-3.6024417E+000, 1.2484227E-001,-7.8255209E-002, 2.4740147E-003, 0.0000000E+000, 0.0000000E+000, 7.1090457E+000, 8.1967116E+000, 6.3581979E-004, 6.3581979E-004
 2.2821772E+000, 1.2017145E+001,-2.9864214E+000, 1.3797304E-001,-7.2514022E-002, 2.5154122E-003, 0.0000000E+000, 0.0000000E+000, 8.2093541E+000, 9.0986979E+000, 6.4352964E-004, 6.4352964E-004
 2.5103951E+000, 1.2190639E+001,-2.7975480E+000, 1.4261301E-001,-7.1212356E-002, 2.5383714E-003, 0.0000000E+000, 0.0000000E+000, 9.1118611E+000, 9.4670298E+000, 6.4846189E-004, 6.4846189E-004
 2.7386129E+000, 1.2301979E+001,-4.9160125E+000, 1.0812411E-001,-7.2559383E-002, 2.5501577E-003, 0.0000000E+000, 0.0000000E+000, 9.4812666E+000, 7.4240814E+000, 6.5160606E-004, 6.5160606E-004
 2.9261293E+000, 1.3342117E+001,-4.2902064E+000, 1.3608280E-001,-7.6225643E-002, 2.5527176E-003, 0.0000000E+000, 0.0000000E+000, 7.4387592E+000, 9.1143207E+000, 6.5331227E-004, 6.5331227E-004
 3.0935414E+000, 1.3395510E+001,-3.2506894E+000, 1.5364163E-001,-8.5936830E-002, 2.5503334E-003, 0.0000000E+000, 0.0000000E+000, 9.1254522E+000, 1.0215076E+001, 6.5438143E-004, 6.5438143E-004
 3.2609534E+000, 1.2903136E+001,-3.2385991E+000, 1.4414753E-001,-9.6762061E-002, 2.5463418E-003, 0.0000000E+000, 0.0000000E+000, 1.0226602E+001, 9.7144692E+000, 6.5514745E-004, 6.5514745E-004
 3.4094322E+000, 1.3180699E+001,-2.8854379E+000, 1.5300459E-001,-1.0414854E-001, 2.5444037E-003, 0.0000000E+000, 0.0000000E+000, 9.7286991E+000, 1.0346662E+001, 6.5564280E-004, 6.5564280E-004
 3.5579109E+000, 1.2840949E+001,-3.3868315E+000, 1.3664493E-001,-1.1185992E-001, 2.5453935E-003, 0.0000000E+000, 0.0000000E+000, 1.0361482E+001, 9.4814480E+000, 6.5601112E-004, 6.5601112E-004
 3.7063897E+000, 1.2668157E+001,-3.5145050E+000, 1.2939072E-001,-1.1522623E-001, 2.5497862E-003, 0.0000000E+000, 0.0000000E+000, 9.4993620E+000, 9.1703658E+000, 6.5628495E-004, 6.5628495E-004
 3.8314366E+000, 1.3196283E+001,-3.3860581E+000, 1.3809518E-001,-1.1654536E-001, 2.5542883E-003, 0.0000000E+000, 0.0000000E+000, 9.1910177E+000, 9.8343287E+000, 6.5646024E-004, 6.5646024E-004
 3.9564834E+000, 1.2895941E+001,-3.4640954E+000, 1.2852139E-001,-1.1939923E-001, 2.5579232E-003, 0.0000000E+000, 0.0000000E+000, 9.8565228E+000, 9.4435260E+000, 6.5659679E-004, 6.5659679E-004
 4.0815301E+000, 1.2724018E+001,-3.3706663E+000, 1.2309880E-001,-1.2095127E-001, 2.5608669E-003, 0.0000000E+000, 0.0000000E+000, 9.4693111E+000, 9.3580598E+000, 6.5670314E-004, 6.5670314E-004
 4.2065773E+000, 1.2626017E+001,-3.2872119E+000, 1.1735329E-001,-1.2426250E-001, 2.5626253E-003, 0.0000000E+000, 0.0000000E+000, 9.3870023E+000, 9.3344587E+000, 6.5678596E-004, 6.5678596E-004
 4.3316240E+000, 1.2570136E+001,-3.2103544E+000, 1.1040870E-001,-1.3124147E-001, 2.5633168E-003, 0.0000000E+000, 0.0000000E+000, 9.3670825E+000, 9.3415116E+000, 6.5685047E-004, 6.5685047E-004
 4.4566708E+000, 1.2538458E+001,-3.1723896E+000, 1.0097914E-001,-1.4228597E-001, 2.5631167E-003, 0.0000000E+000, 0.0000000E+000, 9.3792788E+000, 9.3273249E+000, 6.5690071E-004, 6.5690071E-004
 4.5817175E+000, 1.2520607E+001,-3.1501218E+000, 8.8959572E-002,-1.5864789E-001, 2.5622990E-003, 0.0000000E+000, 0.0000000E+000, 9.3720901E+000, 9.3033593E+000, 6.5693984E-004, 6.5693984E-004
 4.7067642E+000, 1.2510618E+001,-3.1798962E+000, 7.3515948E-002,-1.8091995E-001, 2.5611666E-003, 0.0000000E+000, 0.0000000E+000, 9.3569809E+000, 9.2258794E+000, 6.5697031E-004, 6.5697031E-004
 4.8318114E+000, 1.2505095E+001,-3.2244749E+000, 5.5473621E-002,-2.0777281E-001, 2.5599994E-003, 0.0000000E+000, 0.0000000E+000, 9.2910650E+000, 9.1308810E+000, 6.5699403E-004, 6.5699403E-004
 4.9568582E+000, 1.2502137E+001,-3.2937487E+000, 3.5230203E-002,-2.3874886E-001, 2.5590075E-003, 0.0000000E+000, 0.0000000E+000, 9.2106174E+000, 9.0074290E+000, 6.5701251E-004, 6.5701251E-004
 5.0819049E+000, 1.2500647E+001,-3.3305158E+000, 1.4642002E-002,-2.7165525E-001, 2.5582629E-003, 0.0000000E+000, 0.0000000E+000, 9.1040758E+000, 8.9156764E+000, 6.5702690E-004, 6.5702690E-004
 5.2069516E+000, 1.2499973E+001,-3.3608462E+000,-7.3270508E-003,-3.0431594E-001, 2.5577584E-003, 0.0000000E+000, 0.0000000E+000, 9.0304189E+000, 8.8300416E+000, 6.5703811E-004, 6.5703811E-004
 5.3319983E+000, 1.2499733E+001,-3.3559836E+000,-3.3860475E-002,-3.3507589E-001, 2.5574386E-003, 0.0000000E+000, 0.0000000E+000, 8.9617130E+000, 8.7773708E+000, 6.5704684E-004, 6.5704684E-004
 5.4570456E+000, 1.2499702E+001,-3.3588621E+000,-6.8253525E-002,-3.6394117E-001, 2.5571857E-003, 0.0000000E+000, 0.0000000E+000, 8.9217490E+000, 8.7112023E+000, 6.5705363E-004, 6.5705363E-004
 5.5820923E+000, 1.2499753E+001,-3.3565344E+000,-1.1061646E-001,-3.9043813E-001, 2.5569019E-003, 0.0000000E+000, 0.0000000E+000, 8.8666925E+000, 8.6447208E+000, 6.5705892E-004, 6.5705892E-004
 5.7071390E+000, 1.2499817E+001,-3.3492351E+000,-1.6610736E-001,-4.1505586E-001, 2.5565160E-003, 0.0000000E+000, 0.0000000E+000, 8.8097308E+000, 8.5719752E+000, 6.5706304E-004, 6.5706304E-004
 5.8321857E+000, 1.2499866E+001,-3.3411400E+000,-2.3600103E-001,-4.4026626E-001, 2.5558980E-003, 0.0000000E+000, 0.0000000E+000, 8.7409921E+000, 8.4850141E+000, 6.5706625E-004, 6.5706625E-004
 5.9572325E+000, 1.2499904E+001,-3.3337993E+000,-3.1163554E-001,-4.6428784E-001, 2.5549879E-003, 0.0000000E+000, 0.0000000E+000, 8.6614536E+000, 8.3927361E+000, 6.5706875E-004, 6.5706875E-004
 6.0947843E+000, 1.2191067E+001,-3.3259353E+000,-3.9679123E-001,-4.8850170E-001, 2.5537927E-003, 0.0000000E+000, 0.0000000E+000, 8.5758322E+000, 7.9823928E+000, 6.5707087E-004, 6.5707087E-004
 6.2323356E+000, 1.2332066E+001,-3.2449632E+000,-4.6149675E-001,-5.1031160E-001, 2.5521018E-003, 0.0000000E+000, 0.0000000E+000, 8.1810635E+000, 8.1178462E+000, 6.5707247E-004, 6.5707247E-004
 6.3698874E+000, 1.2408684E+001,-3.2644669E+000,-5.1541965E-001,-5.3197081E-001, 2.5494478E-003, 0.0000000E+000, 0.0000000E+000, 8.3340653E+000, 8.0993764E+000, 6.5707369E-004, 6.5707369E-004
