,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-08T10:14:11.777+02:00,   0.228E+00,   0.22822,   9.70312
      2,2020-10-08T10:14:11.887+02:00,   0.228E+00,   0.45644,  10.57812
      3,2020-10-08T10:14:12.012+02:00,   0.228E+00,   0.68465,  11.57812
      4,2020-10-08T10:14:12.152+02:00,   0.228E+00,   0.91287,  12.70312
      5,2020-10-08T10:14:12.278+02:00,   0.228E+00,   1.14109,  13.68750
      6,2020-10-08T10:14:12.387+02:00,   0.228E+00,   1.36931,  14.56250
      7,2020-10-08T10:14:12.543+02:00,   0.228E+00,   1.59752,  15.78125
      8,2020-10-08T10:14:12.653+02:00,   0.228E+00,   1.82574,  16.62500
      9,2020-10-08T10:14:12.778+02:00,   0.228E+00,   2.05396,  17.62500
     10,2020-10-08T10:14:12.918+02:00,   0.228E+00,   2.28218,  18.71875
     20,2020-10-08T10:14:14.449+02:00,   0.125E+00,   3.95648,  29.56250
     30,2020-10-08T10:14:15.731+02:00,   0.125E+00,   5.20695,  39.60938
     40,2020-10-08T10:14:16.996+02:00,   0.138E+00,   6.50744,  49.71875
     50,2020-10-08T10:14:18.234+02:00,   0.138E+00,   7.88295,  59.53125
     60,2020-10-08T10:14:19.468+02:00,   0.138E+00,   9.25847,  69.37500
     70,2020-10-08T10:14:20.734+02:00,   0.138E+00,  10.63398,  79.45312
     80,2020-10-08T10:14:22.015+02:00,   0.121E+00,  11.97666,  89.67188
     90,2020-10-08T10:14:23.249+02:00,   0.147E+00,  13.32609,  99.51562
    100,2020-10-08T10:14:24.515+02:00,   0.147E+00,  14.79181, 109.64062
    200,2020-10-08T10:14:36.997+02:00,   0.130E+00,  29.35928, 209.18750
    300,2020-10-08T10:14:49.553+02:00,   0.139E+00,  43.87459, 309.25000
    400,2020-10-08T10:15:02.161+02:00,   0.190E+00,  60.00816, 409.76562
    500,2020-10-08T10:15:14.847+02:00,   0.161E+00,  78.13927, 511.00000
    600,2020-10-08T10:15:27.581+02:00,   0.172E+00,  95.03701, 612.59375
    700,2020-10-08T10:15:40.376+02:00,   0.180E+00, 113.25994, 714.51562
    735,2020-10-08T10:15:44.829+02:00,   0.186E+00, 120.00000, 750.07812
