,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-30T14:38:43.493+01:00,   0.556E-04,   0.00006,   1.78125
      2,2020-11-30T14:38:43.562+01:00,   0.556E-04,   0.00011,   2.03125
      3,2020-11-30T14:38:43.636+01:00,   0.556E-04,   0.00017,   2.34375
      4,2020-11-30T14:38:43.726+01:00,   0.556E-04,   0.00022,   2.60938
      5,2020-11-30T14:38:43.788+01:00,   0.556E-04,   0.00028,   2.85938
      6,2020-11-30T14:38:43.854+01:00,   0.556E-04,   0.00033,   3.17188
      7,2020-11-30T14:38:43.920+01:00,   0.556E-04,   0.00039,   3.40625
      8,2020-11-30T14:38:43.987+01:00,   0.556E-04,   0.00044,   3.64062
      9,2020-11-30T14:38:44.068+01:00,   0.556E-04,   0.00050,   3.95312
     10,2020-11-30T14:38:44.131+01:00,   0.556E-04,   0.00056,   4.18750
     20,2020-11-30T14:38:44.836+01:00,   0.556E-04,   0.00111,   6.93750
     30,2020-11-30T14:38:45.683+01:00,   0.556E-04,   0.00167,  10.17188
     40,2020-11-30T14:38:46.376+01:00,   0.556E-04,   0.00222,  12.87500
     50,2020-11-30T14:38:47.201+01:00,   0.556E-04,   0.00278,  16.10938
     60,2020-11-30T14:38:47.953+01:00,   0.556E-04,   0.00333,  19.09375
     70,2020-11-30T14:38:48.999+01:00,   0.556E-04,   0.00389,  23.21875
     80,2020-11-30T14:38:50.004+01:00,   0.556E-04,   0.00445,  27.20312
     90,2020-11-30T14:38:50.910+01:00,   0.556E-04,   0.00500,  30.76562
    100,2020-11-30T14:38:52.308+01:00,   0.556E-04,   0.00556,  36.07812
    180,2020-11-30T14:39:00.622+01:00,   0.527E-04,   0.01000,  68.64062
