m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 2.203E+01, 2.000E-02, 2.205E+01, 1.166E-01
 6.860E-02, 2.203E+01, 6.865E-02, 2.205E+01, 1.166E-01
 1.172E-01, 2.202E+01, 1.173E-01, 2.204E+01, 1.157E-01
 1.658E-01, 2.202E+01, 1.659E-01, 2.204E+01, 1.157E-01
 2.144E-01, 2.202E+01, 2.146E-01, 2.204E+01, 1.182E-01
 2.630E-01, 2.202E+01, 2.632E-01, 2.204E+01, 1.182E-01
 3.116E-01, 2.202E+01, 3.119E-01, 2.204E+01, 1.201E-01
 3.602E-01, 2.202E+01, 3.605E-01, 2.204E+01, 1.201E-01
 4.088E-01, 2.203E+01, 4.092E-01, 2.204E+01, 1.225E-01
 4.574E-01, 2.203E+01, 4.578E-01, 2.204E+01, 1.225E-01
 5.060E-01, 2.203E+01, 5.065E-01, 2.204E+01, 1.243E-01
 5.547E-01, 2.203E+01, 5.551E-01, 2.204E+01, 1.243E-01
 6.033E-01, 2.203E+01, 6.038E-01, 2.203E+01, 1.225E-01
 6.519E-01, 2.203E+01, 6.524E-01, 2.203E+01, 1.225E-01
 7.005E-01, 2.202E+01, 7.011E-01, 2.203E+01, 1.288E-01
 7.491E-01, 2.202E+01, 7.497E-01, 2.203E+01, 1.288E-01
 7.977E-01, 2.202E+01, 7.984E-01, 2.203E+01, 1.249E-01
 8.463E-01, 2.202E+01, 8.470E-01, 2.203E+01, 1.249E-01
 8.949E-01, 2.202E+01, 8.957E-01, 2.202E+01, 1.388E-01
 9.435E-01, 2.202E+01, 9.443E-01, 2.202E+01, 1.388E-01
 9.921E-01, 2.202E+01, 9.930E-01, 2.202E+01, 1.351E-01
 1.041E+00, 2.202E+01, 1.042E+00, 2.202E+01, 1.351E-01
 1.089E+00, 2.202E+01, 1.090E+00, 2.202E+01, 1.376E-01
 1.138E+00, 2.202E+01, 1.139E+00, 2.202E+01, 1.376E-01
 1.187E+00, 2.202E+01, 1.188E+00, 2.202E+01, 1.389E-01
 1.235E+00, 2.202E+01, 1.236E+00, 2.202E+01, 1.389E-01
 1.284E+00, 2.202E+01, 1.285E+00, 2.202E+01, 1.444E-01
 1.332E+00, 2.202E+01, 1.334E+00, 2.202E+01, 1.444E-01
 1.381E+00, 2.202E+01, 1.382E+00, 2.202E+01, 1.493E-01
 1.430E+00, 2.202E+01, 1.431E+00, 2.202E+01, 1.493E-01
 1.478E+00, 2.202E+01, 1.479E+00, 2.202E+01, 1.599E-01
 1.527E+00, 2.202E+01, 1.528E+00, 2.202E+01, 1.599E-01
 1.575E+00, 2.202E+01, 1.577E+00, 2.201E+01, 1.667E-01
 1.624E+00, 2.202E+01, 1.625E+00, 2.201E+01, 1.667E-01
 1.673E+00, 2.201E+01, 1.674E+00, 2.201E+01, 1.843E-01
 1.721E+00, 2.201E+01, 1.723E+00, 2.201E+01, 1.843E-01
 1.770E+00, 2.201E+01, 1.771E+00, 2.202E+01, 1.628E-01
 1.818E+00, 2.201E+01, 1.820E+00, 2.202E+01, 1.628E-01
 1.867E+00, 2.201E+01,NaN,NaN,NaN
 1.916E+00, 2.201E+01,NaN,NaN,NaN
 1.964E+00, 2.201E+01,NaN,NaN,NaN
 2.013E+00, 2.201E+01,NaN,NaN,NaN
 2.061E+00, 2.201E+01,NaN,NaN,NaN
 2.110E+00, 2.201E+01,NaN,NaN,NaN
