,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2021-02-17T16:31:49.513+01:00,   0.556E-04,   0.00006,   1.62500
      2,2021-02-17T16:31:49.587+01:00,   0.556E-04,   0.00011,   1.93750
      3,2021-02-17T16:31:49.664+01:00,   0.556E-04,   0.00017,   2.25000
      4,2021-02-17T16:31:49.744+01:00,   0.556E-04,   0.00022,   2.56250
      5,2021-02-17T16:31:49.829+01:00,   0.556E-04,   0.00028,   2.87500
      6,2021-02-17T16:31:49.912+01:00,   0.556E-04,   0.00033,   3.25000
      7,2021-02-17T16:31:49.989+01:00,   0.556E-04,   0.00039,   3.50000
      8,2021-02-17T16:31:50.066+01:00,   0.556E-04,   0.00044,   3.79688
      9,2021-02-17T16:31:50.163+01:00,   0.556E-04,   0.00050,   4.21875
     10,2021-02-17T16:31:50.260+01:00,   0.556E-04,   0.00056,   4.57812
     20,2021-02-17T16:31:51.031+01:00,   0.556E-04,   0.00111,   7.60938
     30,2021-02-17T16:31:51.748+01:00,   0.556E-04,   0.00167,  10.45312
     40,2021-02-17T16:31:52.555+01:00,   0.556E-04,   0.00222,  13.67188
     50,2021-02-17T16:31:53.277+01:00,   0.556E-04,   0.00278,  16.53125
     60,2021-02-17T16:31:54.118+01:00,   0.556E-04,   0.00333,  19.89062
     70,2021-02-17T16:31:55.249+01:00,   0.556E-04,   0.00389,  24.35938
     80,2021-02-17T16:31:56.546+01:00,   0.556E-04,   0.00445,  29.51562
     90,2021-02-17T16:31:57.882+01:00,   0.556E-04,   0.00500,  34.79688
    100,2021-02-17T16:31:59.268+01:00,   0.556E-04,   0.00556,  40.29688
    180,2021-02-17T16:32:06.634+01:00,   0.527E-04,   0.01000,  69.60938
